PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,firstName,secondName,AgeGroup,namePrefix,FamilySize,Alone,CabinType
1,0,3,M,22.0,1,0,A/5 21171,7.25,,S,Braund, Mr. Owen Harris,Adult,Mr,2,0,n
2,1,1,F,38.0,1,0,PC 17599,71.2833,C85,C,Cumings, Mrs. John Bradley (Florence Briggs Thayer),Adult,Mr,2,0,C
3,1,3,F,26.0,0,0,STON/O2. 3101282,7.925,,S,Heikkinen, Miss. Laina,Adult,Miss,1,1,n
4,1,1,F,35.0,1,0,113803,53.1,C123,S,Futrelle, Mrs. Jacques Heath (Lily May Peel),Adult,Mr,2,0,C
5,0,3,M,35.0,0,0,373450,8.05,,S,Allen, Mr. William Henry,Adult,Mr,1,1,n
6,0,3,M,24.0,0,0,330877,8.4583,,Q,Moran, Mr. James,Adult,Mr,1,1,n
7,0,1,M,54.0,0,0,17463,51.8625,E46,S,McCarthy, Mr. Timothy J,Adult,Mr,1,1,E
8,0,3,M,2.0,3,1,349909,21.075,,S,Palsson, Master. Gosta Leonard,Kid,Master,5,0,n
9,1,3,F,27.0,0,2,347742,11.1333,,S,Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg),Adult,Mr,3,0,n
10,1,2,F,14.0,1,0,237736,30.0708,,C,Nasser, Mrs. Nicholas (Adele Achem),Teen,Mr,2,0,n
11,1,3,F,4.0,1,1,PP 9549,16.7,G6,S,Sandstrom, Miss. Marguerite Rut,Kid,Miss,3,0,G
12,1,1,F,58.0,0,0,113783,26.55,C103,S,Bonnell, Miss. Elizabeth,Adult,Miss,1,1,C
13,0,3,M,20.0,0,0,A/5. 2151,8.05,,S,Saundercock, Mr. William Henry,Adult,Mr,1,1,n
14,0,3,M,39.0,1,5,347082,31.275,,S,Andersson, Mr. Anders Johan,Adult,Mr,7,0,n
15,0,3,F,14.0,0,0,350406,7.8542,,S,Vestrom, Miss. Hulda Amanda Adolfina,Teen,Miss,1,1,n
16,1,2,F,55.0,0,0,248706,16.0,,S,Hewlett, Mrs. (Mary D Kingcome) ,Adult,Mr,1,1,n
17,0,3,M,2.0,4,1,382652,29.125,,Q,Rice, Master. Eugene,Kid,Master,6,0,n
18,1,2,M,29.0,0,0,244373,13.0,,S,Williams, Mr. Charles Eugene,Adult,Mr,1,1,n
19,0,3,F,31.0,1,0,345763,18.0,,S,Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele),Adult,Mr,2,0,n
20,1,3,F,24.0,0,0,2649,7.225,,C,Masselmani, Mrs. Fatima,Adult,Mr,1,1,n
21,0,2,M,35.0,0,0,239865,26.0,,S,Fynney, Mr. Joseph J,Adult,Mr,1,1,n
22,1,2,M,34.0,0,0,248698,13.0,D56,S,Beesley, Mr. Lawrence,Adult,Mr,1,1,D
23,1,3,F,15.0,0,0,330923,8.0292,,Q,McGowan," Miss. Anna ""Annie""",Teen,Miss,1,1,n
24,1,1,M,28.0,0,0,113788,35.5,A6,S,Sloper, Mr. William Thompson,Adult,Mr,1,1,A
25,0,3,F,8.0,3,1,349909,21.075,,S,Palsson, Miss. Torborg Danira,Kid,Miss,5,0,n
26,1,3,F,38.0,1,5,347077,31.3875,,S,Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson),Adult,Mr,7,0,n
27,0,3,M,24.0,0,0,2631,7.225,,C,Emir, Mr. Farred Chehab,Adult,Mr,1,1,n
28,0,1,M,19.0,3,2,19950,263.0,C23 C25 C27,S,Fortune, Mr. Charles Alexander,Adult,Mr,6,0,C
29,1,3,F,24.0,0,0,330959,7.8792,,Q,O'Dwyer," Miss. Ellen ""Nellie""",Adult,Miss,1,1,n
30,0,3,M,24.0,0,0,349216,7.8958,,S,Todoroff, Mr. Lalio,Adult,Mr,1,1,n
31,0,1,M,40.0,0,0,PC 17601,27.7208,,C,Uruchurtu, Don. Manuel E,Adult,,1,1,n
32,1,1,F,37.0,1,0,PC 17569,146.5208,B78,C,Spencer, Mrs. William Augustus (Marie Eugenie),Adult,Mr,2,0,B
33,1,3,F,24.0,0,0,335677,7.75,,Q,Glynn, Miss. Mary Agatha,Adult,Miss,1,1,n
34,0,2,M,66.0,0,0,C.A. 24579,10.5,,S,Wheadon, Mr. Edward H,Older,Mr,1,1,n
35,0,1,M,28.0,1,0,PC 17604,82.1708,,C,Meyer, Mr. Edgar Joseph,Adult,Mr,2,0,n
36,0,1,M,42.0,1,0,113789,52.0,,S,Holverson, Mr. Alexander Oskar,Adult,Mr,2,0,n
37,1,3,M,24.0,0,0,2677,7.2292,,C,Mamee, Mr. Hanna,Adult,Mr,1,1,n
38,0,3,M,21.0,0,0,A./5. 2152,8.05,,S,Cann, Mr. Ernest Charles,Adult,Mr,1,1,n
39,0,3,F,18.0,2,0,345764,18.0,,S,Vander Planke, Miss. Augusta Maria,Teen,Miss,3,0,n
40,1,3,F,14.0,1,0,2651,11.2417,,C,Nicola-Yarred, Miss. Jamila,Teen,Miss,2,0,n
41,0,3,F,40.0,1,0,7546,9.475,,S,Ahlin, Mrs. Johan (Johanna Persdotter Larsson),Adult,Mr,2,0,n
42,0,2,F,27.0,1,0,11668,21.0,,S,Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott),Adult,Mr,2,0,n
43,0,3,M,24.0,0,0,349253,7.8958,,C,Kraeff, Mr. Theodor,Adult,Mr,1,1,n
44,1,2,F,3.0,1,2,SC/Paris 2123,41.5792,,C,Laroche, Miss. Simonne Marie Anne Andree,Kid,Miss,4,0,n
45,1,3,F,19.0,0,0,330958,7.8792,,Q,Devaney, Miss. Margaret Delia,Adult,Miss,1,1,n
46,0,3,M,24.0,0,0,S.C./A.4. 23567,8.05,,S,Rogers, Mr. William John,Adult,Mr,1,1,n
47,0,3,M,24.0,1,0,370371,15.5,,Q,Lennon, Mr. Denis,Adult,Mr,2,0,n
48,1,3,F,24.0,0,0,14311,7.75,,Q,O'Driscoll, Miss. Bridget,Adult,Miss,1,1,n
49,0,3,M,24.0,2,0,2662,21.6792,,C,Samaan, Mr. Youssef,Adult,Mr,3,0,n
50,0,3,F,18.0,1,0,349237,17.8,,S,Arnold-Franchi, Mrs. Josef (Josefine Franchi),Teen,Mr,2,0,n
51,0,3,M,7.0,4,1,3101295,39.6875,,S,Panula, Master. Juha Niilo,Kid,Master,6,0,n
52,0,3,M,21.0,0,0,A/4. 39886,7.8,,S,Nosworthy, Mr. Richard Cater,Adult,Mr,1,1,n
53,1,1,F,49.0,1,0,PC 17572,76.7292,D33,C,Harper, Mrs. Henry Sleeper (Myna Haxtun),Adult,Mr,2,0,D
54,1,2,F,29.0,1,0,2926,26.0,,S,Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson),Adult,Mr,2,0,n
55,0,1,M,65.0,0,1,113509,61.9792,B30,C,Ostby, Mr. Engelhart Cornelius,Older,Mr,2,0,B
56,1,1,M,37.0,0,0,19947,35.5,C52,S,Woolner, Mr. Hugh,Adult,Mr,1,1,C
57,1,2,F,21.0,0,0,C.A. 31026,10.5,,S,Rugg, Miss. Emily,Adult,Miss,1,1,n
58,0,3,M,28.5,0,0,2697,7.2292,,C,Novel, Mr. Mansouer,Adult,Mr,1,1,n
59,1,2,F,5.0,1,2,C.A. 34651,27.75,,S,West, Miss. Constance Mirium,Kid,Miss,4,0,n
60,0,3,M,11.0,5,2,CA 2144,46.9,,S,Goodwin, Master. William Frederick,Kid,Master,8,0,n
61,0,3,M,22.0,0,0,2669,7.2292,,C,Sirayanian, Mr. Orsen,Adult,Mr,1,1,n
62,1,1,F,38.0,0,0,113572,80.0,B28,,Icard, Miss. Amelie,Adult,Miss,1,1,B
63,0,1,M,45.0,1,0,36973,83.475,C83,S,Harris, Mr. Henry Birkhardt,Adult,Mr,2,0,C
64,0,3,M,4.0,3,2,347088,27.9,,S,Skoog, Master. Harald,Kid,Master,6,0,n
65,0,1,M,37.0,0,0,PC 17605,27.7208,,C,Stewart, Mr. Albert A,Adult,Mr,1,1,n
66,1,3,M,24.0,1,1,2661,15.2458,,C,Moubarek, Master. Gerios,Adult,Master,3,0,n
67,1,2,F,29.0,0,0,C.A. 29395,10.5,F33,S,Nye, Mrs. (Elizabeth Ramell),Adult,Mr,1,1,F
68,0,3,M,19.0,0,0,S.P. 3464,8.1583,,S,Crease, Mr. Ernest James,Adult,Mr,1,1,n
69,1,3,F,17.0,4,2,3101281,7.925,,S,Andersson, Miss. Erna Alexandra,Teen,Miss,7,0,n
70,0,3,M,26.0,2,0,315151,8.6625,,S,Kink, Mr. Vincenz,Adult,Mr,3,0,n
71,0,2,M,32.0,0,0,C.A. 33111,10.5,,S,Jenkin, Mr. Stephen Curnow,Adult,Mr,1,1,n
72,0,3,F,16.0,5,2,CA 2144,46.9,,S,Goodwin, Miss. Lillian Amy,Teen,Miss,8,0,n
73,0,2,M,21.0,0,0,S.O.C. 14879,73.5,,S,Hood, Mr. Ambrose Jr,Adult,Mr,1,1,n
74,0,3,M,26.0,1,0,2680,14.4542,,C,Chronopoulos, Mr. Apostolos,Adult,Mr,2,0,n
75,1,3,M,32.0,0,0,1601,56.4958,,S,Bing, Mr. Lee,Adult,Mr,1,1,n
76,0,3,M,25.0,0,0,348123,7.65,F G73,S,Moen, Mr. Sigurd Hansen,Adult,Mr,1,1,F
77,0,3,M,24.0,0,0,349208,7.8958,,S,Staneff, Mr. Ivan,Adult,Mr,1,1,n
78,0,3,M,24.0,0,0,374746,8.05,,S,Moutal, Mr. Rahamin Haim,Adult,Mr,1,1,n
79,1,2,M,0.83,0,2,248738,29.0,,S,Caldwell, Master. Alden Gates,Kid,Master,3,0,n
80,1,3,F,30.0,0,0,364516,12.475,,S,Dowdell, Miss. Elizabeth,Adult,Miss,1,1,n
81,0,3,M,22.0,0,0,345767,9.0,,S,Waelens, Mr. Achille,Adult,Mr,1,1,n
82,1,3,M,29.0,0,0,345779,9.5,,S,Sheerlinck, Mr. Jan Baptist,Adult,Mr,1,1,n
83,1,3,F,24.0,0,0,330932,7.7875,,Q,McDermott, Miss. Brigdet Delia,Adult,Miss,1,1,n
84,0,1,M,28.0,0,0,113059,47.1,,S,Carrau, Mr. Francisco M,Adult,Mr,1,1,n
85,1,2,F,17.0,0,0,SO/C 14885,10.5,,S,Ilett, Miss. Bertha,Teen,Miss,1,1,n
86,1,3,F,33.0,3,0,3101278,15.85,,S,Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson),Adult,Mr,4,0,n
87,0,3,M,16.0,1,3,W./C. 6608,34.375,,S,Ford, Mr. William Neal,Teen,Mr,5,0,n
88,0,3,M,24.0,0,0,SOTON/OQ 392086,8.05,,S,Slocovski, Mr. Selman Francis,Adult,Mr,1,1,n
89,1,1,F,23.0,3,2,19950,263.0,C23 C25 C27,S,Fortune, Miss. Mabel Helen,Adult,Miss,6,0,C
90,0,3,M,24.0,0,0,343275,8.05,,S,Celotti, Mr. Francesco,Adult,Mr,1,1,n
91,0,3,M,29.0,0,0,343276,8.05,,S,Christmann, Mr. Emil,Adult,Mr,1,1,n
92,0,3,M,20.0,0,0,347466,7.8542,,S,Andreasson, Mr. Paul Edvin,Adult,Mr,1,1,n
93,0,1,M,46.0,1,0,W.E.P. 5734,61.175,E31,S,Chaffee, Mr. Herbert Fuller,Adult,Mr,2,0,E
94,0,3,M,26.0,1,2,C.A. 2315,20.575,,S,Dean, Mr. Bertram Frank,Adult,Mr,4,0,n
95,0,3,M,59.0,0,0,364500,7.25,,S,Coxon, Mr. Daniel,Adult,Mr,1,1,n
96,0,3,M,24.0,0,0,374910,8.05,,S,Shorney, Mr. Charles Joseph,Adult,Mr,1,1,n
97,0,1,M,71.0,0,0,PC 17754,34.6542,A5,C,Goldschmidt, Mr. George B,Older,Mr,1,1,A
98,1,1,M,23.0,0,1,PC 17759,63.3583,D10 D12,C,Greenfield, Mr. William Bertram,Adult,Mr,2,0,D
99,1,2,F,34.0,0,1,231919,23.0,,S,Doling, Mrs. John T (Ada Julia Bone),Adult,Mr,2,0,n
100,0,2,M,34.0,1,0,244367,26.0,,S,Kantor, Mr. Sinai,Adult,Mr,2,0,n
101,0,3,F,28.0,0,0,349245,7.8958,,S,Petranec, Miss. Matilda,Adult,Miss,1,1,n
102,0,3,M,24.0,0,0,349215,7.8958,,S,Petroff," Mr. Pastcho (""Pentcho"")",Adult,Mr,1,1,n
103,0,1,M,21.0,0,1,35281,77.2875,D26,S,White, Mr. Richard Frasar,Adult,Mr,2,0,D
104,0,3,M,33.0,0,0,7540,8.6542,,S,Johansson, Mr. Gustaf Joel,Adult,Mr,1,1,n
105,0,3,M,37.0,2,0,3101276,7.925,,S,Gustafsson, Mr. Anders Vilhelm,Adult,Mr,3,0,n
106,0,3,M,28.0,0,0,349207,7.8958,,S,Mionoff, Mr. Stoytcho,Adult,Mr,1,1,n
107,1,3,F,21.0,0,0,343120,7.65,,S,Salkjelsvik, Miss. Anna Kristine,Adult,Miss,1,1,n
108,1,3,M,24.0,0,0,312991,7.775,,S,Moss, Mr. Albert Johan,Adult,Mr,1,1,n
109,0,3,M,38.0,0,0,349249,7.8958,,S,Rekic, Mr. Tido,Adult,Mr,1,1,n
110,1,3,F,24.0,1,0,371110,24.15,,Q,Moran, Miss. Bertha,Adult,Miss,2,0,n
111,0,1,M,47.0,0,0,110465,52.0,C110,S,Porter, Mr. Walter Chamberlain,Adult,Mr,1,1,C
112,0,3,F,14.5,1,0,2665,14.4542,,C,Zabour, Miss. Hileni,Teen,Miss,2,0,n
113,0,3,M,22.0,0,0,324669,8.05,,S,Barton, Mr. David John,Adult,Mr,1,1,n
114,0,3,F,20.0,1,0,4136,9.825,,S,Jussila, Miss. Katriina,Adult,Miss,2,0,n
115,0,3,F,17.0,0,0,2627,14.4583,,C,Attalah, Miss. Malake,Teen,Miss,1,1,n
116,0,3,M,21.0,0,0,STON/O 2. 3101294,7.925,,S,Pekoniemi, Mr. Edvard,Adult,Mr,1,1,n
117,0,3,M,70.5,0,0,370369,7.75,,Q,Connors, Mr. Patrick,Older,Mr,1,1,n
118,0,2,M,29.0,1,0,11668,21.0,,S,Turpin, Mr. William John Robert,Adult,Mr,2,0,n
119,0,1,M,24.0,0,1,PC 17558,247.5208,B58 B60,C,Baxter, Mr. Quigg Edmond,Adult,Mr,2,0,B
120,0,3,F,2.0,4,2,347082,31.275,,S,Andersson, Miss. Ellis Anna Maria,Kid,Miss,7,0,n
121,0,2,M,21.0,2,0,S.O.C. 14879,73.5,,S,Hickman, Mr. Stanley George,Adult,Mr,3,0,n
122,0,3,M,24.0,0,0,A4. 54510,8.05,,S,Moore, Mr. Leonard Charles,Adult,Mr,1,1,n
123,0,2,M,32.5,1,0,237736,30.0708,,C,Nasser, Mr. Nicholas,Adult,Mr,2,0,n
124,1,2,F,32.5,0,0,27267,13.0,E101,S,Webber, Miss. Susan,Adult,Miss,1,1,E
125,0,1,M,54.0,0,1,35281,77.2875,D26,S,White, Mr. Percival Wayland,Adult,Mr,2,0,D
126,1,3,M,12.0,1,0,2651,11.2417,,C,Nicola-Yarred, Master. Elias,Kid,Master,2,0,n
127,0,3,M,24.0,0,0,370372,7.75,,Q,McMahon, Mr. Martin,Adult,Mr,1,1,n
128,1,3,M,24.0,0,0,C 17369,7.1417,,S,Madsen, Mr. Fridtjof Arne,Adult,Mr,1,1,n
129,1,3,F,24.0,1,1,2668,22.3583,F E69,C,Peter, Miss. Anna,Adult,Miss,3,0,F
130,0,3,M,45.0,0,0,347061,6.975,,S,Ekstrom, Mr. Johan,Adult,Mr,1,1,n
131,0,3,M,33.0,0,0,349241,7.8958,,C,Drazenoic, Mr. Jozef,Adult,Mr,1,1,n
132,0,3,M,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,Coelho, Mr. Domingos Fernandeo,Adult,Mr,1,1,n
133,0,3,F,47.0,1,0,A/5. 3337,14.5,,S,Robins, Mrs. Alexander A (Grace Charity Laury),Adult,Mr,2,0,n
134,1,2,F,29.0,1,0,228414,26.0,,S,Weisz, Mrs. Leopold (Mathilde Francoise Pede),Adult,Mr,2,0,n
135,0,2,M,25.0,0,0,C.A. 29178,13.0,,S,Sobey, Mr. Samuel James Hayden,Adult,Mr,1,1,n
136,0,2,M,23.0,0,0,SC/PARIS 2133,15.0458,,C,Richard, Mr. Emile,Adult,Mr,1,1,n
137,1,1,F,19.0,0,2,11752,26.2833,D47,S,Newsom, Miss. Helen Monypeny,Adult,Miss,3,0,D
138,0,1,M,37.0,1,0,113803,53.1,C123,S,Futrelle, Mr. Jacques Heath,Adult,Mr,2,0,C
139,0,3,M,16.0,0,0,7534,9.2167,,S,Osen, Mr. Olaf Elon,Teen,Mr,1,1,n
140,0,1,M,24.0,0,0,PC 17593,79.2,B86,C,Giglio, Mr. Victor,Adult,Mr,1,1,B
141,0,3,F,24.0,0,2,2678,15.2458,,C,Boulos, Mrs. Joseph (Sultana),Adult,Mr,3,0,n
142,1,3,F,22.0,0,0,347081,7.75,,S,Nysten, Miss. Anna Sofia,Adult,Miss,1,1,n
143,1,3,F,24.0,1,0,STON/O2. 3101279,15.85,,S,Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck),Adult,Mr,2,0,n
144,0,3,M,19.0,0,0,365222,6.75,,Q,Burke, Mr. Jeremiah,Adult,Mr,1,1,n
145,0,2,M,18.0,0,0,231945,11.5,,S,Andrew, Mr. Edgardo Samuel,Teen,Mr,1,1,n
146,0,2,M,19.0,1,1,C.A. 33112,36.75,,S,Nicholls, Mr. Joseph Charles,Adult,Mr,3,0,n
147,1,3,M,27.0,0,0,350043,7.7958,,S,Andersson," Mr. August Edvard (""Wennerstrom"")",Adult,Mr,1,1,n
148,0,3,F,9.0,2,2,W./C. 6608,34.375,,S,Ford," Miss. Robina Maggie ""Ruby""",Kid,Miss,5,0,n
149,0,2,M,36.5,0,2,230080,26.0,F2,S,Navratil," Mr. Michel (""Louis M Hoffman"")",Adult,Mr,3,0,F
150,0,2,M,42.0,0,0,244310,13.0,,S,Byles, Rev. Thomas Roussel Davids,Adult,,1,1,n
151,0,2,M,51.0,0,0,S.O.P. 1166,12.525,,S,Bateman, Rev. Robert James,Adult,,1,1,n
152,1,1,F,22.0,1,0,113776,66.6,C2,S,Pears, Mrs. Thomas (Edith Wearne),Adult,Mr,2,0,C
153,0,3,M,55.5,0,0,A.5. 11206,8.05,,S,Meo, Mr. Alfonzo,Adult,Mr,1,1,n
154,0,3,M,40.5,0,2,A/5. 851,14.5,,S,van Billiard, Mr. Austin Blyler,Adult,Mr,3,0,n
155,0,3,M,24.0,0,0,Fa 265302,7.3125,,S,Olsen, Mr. Ole Martin,Adult,Mr,1,1,n
156,0,1,M,51.0,0,1,PC 17597,61.3792,,C,Williams, Mr. Charles Duane,Adult,Mr,2,0,n
157,1,3,F,16.0,0,0,35851,7.7333,,Q,Gilnagh," Miss. Katherine ""Katie""",Teen,Miss,1,1,n
158,0,3,M,30.0,0,0,SOTON/OQ 392090,8.05,,S,Corn, Mr. Harry,Adult,Mr,1,1,n
159,0,3,M,24.0,0,0,315037,8.6625,,S,Smiljanic, Mr. Mile,Adult,Mr,1,1,n
160,0,3,M,24.0,8,2,CA. 2343,69.55,,S,Sage, Master. Thomas Henry,Adult,Master,11,0,n
161,0,3,M,44.0,0,1,371362,16.1,,S,Cribb, Mr. John Hatfield,Adult,Mr,2,0,n
162,1,2,F,40.0,0,0,C.A. 33595,15.75,,S,Watt," Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Adult,Mr,1,1,n
163,0,3,M,26.0,0,0,347068,7.775,,S,Bengtsson, Mr. John Viktor,Adult,Mr,1,1,n
164,0,3,M,17.0,0,0,315093,8.6625,,S,Calic, Mr. Jovo,Teen,Mr,1,1,n
165,0,3,M,1.0,4,1,3101295,39.6875,,S,Panula, Master. Eino Viljami,Kid,Master,6,0,n
166,1,3,M,9.0,0,2,363291,20.525,,S,Goldsmith," Master. Frank John William ""Frankie""",Kid,Master,3,0,n
167,1,1,F,37.0,0,1,113505,55.0,E33,S,Chibnall, Mrs. (Edith Martha Bowerman),Adult,Mr,2,0,E
168,0,3,F,45.0,1,4,347088,27.9,,S,Skoog, Mrs. William (Anna Bernhardina Karlsson),Adult,Mr,6,0,n
169,0,1,M,37.0,0,0,PC 17318,25.925,,S,Baumann, Mr. John D,Adult,Mr,1,1,n
170,0,3,M,28.0,0,0,1601,56.4958,,S,Ling, Mr. Lee,Adult,Mr,1,1,n
171,0,1,M,61.0,0,0,111240,33.5,B19,S,Van der hoef, Mr. Wyckoff,Older,Mr,1,1,B
172,0,3,M,4.0,4,1,382652,29.125,,Q,Rice, Master. Arthur,Kid,Master,6,0,n
173,1,3,F,1.0,1,1,347742,11.1333,,S,Johnson, Miss. Eleanor Ileen,Kid,Miss,3,0,n
174,0,3,M,21.0,0,0,STON/O 2. 3101280,7.925,,S,Sivola, Mr. Antti Wilhelm,Adult,Mr,1,1,n
175,0,1,M,56.0,0,0,17764,30.6958,A7,C,Smith, Mr. James Clinch,Adult,Mr,1,1,A
176,0,3,M,18.0,1,1,350404,7.8542,,S,Klasen, Mr. Klas Albin,Teen,Mr,3,0,n
